tag,sentence
Struct,The following is a histogram of the data for the variables “month”.
Res,"In general, all six claims show large gaps between the median and mean, which implies that the data points are not evenly distributed and there would be outliers."
Data,Metabolic.by.mass and Lifespan are the two key variables that will answer Jorgensen's question.
Struct,"Especially, I was interested in relationship bewteen temperature and other covariates."
RQDef,The third question of this report considers whether the relative humidity of the forest is associated with the area burned.
Res,"After running our two-sample proportion test, we find that our statistic is -0.1964, and our pValue is 0.8443."
Data,"The lowest value, other than those who do not wish to report, is 20,000, while the highest is 1,000,000."
Int,"The exponential mortality in 1995 is likely a consequence of the 1995 Chicago heatwave, which caused 739 heat-related deaths in Chicago in 5 days (3)"
RQDef,Question 3: Does drug usage have an effect on relationship status.
RQDef,"It stands to reason that less humidity in a forest would lend itself to fires of greater severity, and when humidity is high, it may be more difficult for wildfires to grow out of control."
Data,"In this study, we are given a data with 5,114 observations and 6 variables of measurements of air quality, number of non-accidental deaths, and mean temperature in Chicago, Illinois from Jan 1987 to Dec 2000"
Data,A boxplot for Metabolic.rate (figure not shown) also indicates some outliers (2).
RQDef,"As wetter climates with greater amounts of water in the surrounding environment are shown by previous studies to be less conducive to large fires, we predict that there is a negative, significant linear correlation between RH and area."
Int,This suggets that we may want to explore this potential relationship further in the analysis.
Data,"According to the following figure 3, the distribution of RH in the dataset is bimodal, with the modes occurring at 25-29 and around 40."
RQDef,"Is the effect of air pollution instantaneous, or does it propagates and extends over time."
Res,"The distribution was bimodal and skewed right, signaling that the mean moisture content was higher than the median moisture content."
MethJust,"We can justify the use of a t-test for the distribution of age because of random sampling (assumed to be a random sample of n=1500 from the population), large population (59946>n=1500*30), and the distribution having no outliers (even though the distribution is skewed, the use of a t-test is still valid because of the large sample size and no outliers)."
